都市名,都道府県,地方,人口（2025）,地域経済循環率(2022),民間消費支出流出率(2022)
札幌市,北海道,北海道,1970144,94.1,1.9 
仙台市,宮城県,東北,1097004,105.8,6.9 
さいたま市,埼玉県,関東,1353876,81.1,-4.5 
千葉市,千葉県,関東,970981,80.5,24.1 
横浜市,神奈川県,関東,3786702,74.4,6.4 
川崎市,神奈川県,関東,1535017,84.8,-18.5 
相模原市,神奈川県,関東,719711,71.6,4.6 
新潟市,新潟県,中部,763812,93.2,4.8 
静岡市,静岡県,中部,673766,103.6,-14.6 
浜松市,静岡県,中部,772254,86.8,-12.3 
名古屋市,愛知県,中部,2315642,121,-0.3 
京都市,京都府,近畿,1442014,103.7,24.0 
大阪市,大阪府,近畿,2751501,148.5,42.3 
堺市,大阪府,近畿,794971,95.2,-1.7 
神戸市,兵庫県,近畿,1480143,101.2,8.9 
岡山市,岡山県,中国,718255,97.2,8.1 
広島市,広島県,中国,1183031,95.8,-6.7 
北九州市,福岡県,九州,907778,96.1,11.7 
福岡市,福岡県,九州,1638406,103.8,13.4 
熊本市,熊本県,九州,732384,85.3,1.3 
